abandon,버리다
origin,기원
other,다른
otherwise,그렇지 않으면
ought,영
ounce,온스
out,밖으로
outcome,결과
outline,개요
output,산출
outrage,격분
outstanding,뛰어난
over,~ 위에
overall,전반적인
overcome,극복하다
overhead,간접비
overlap,겹치다
overlook,간과하다
overnight,밤새
oversea,해외
overwhelm,압도하다
owe,빚지다
own,소유하다
pace,속도
pack,팩
packet,패킷
pad,인주
pain,통증
paint,페인트
pair,쌍
palace,궁전
pale,창백한
palm,손바닥
pan,팬
panel,패널
panic,공황
pants,바지
paper,종이
paragraph,절
parallel,평행한
pardon,뭐라고요
parent,부모의
park,공원
parliament,의회
part,부분
participate,참가하다
particle,입자
particular,특정한
pass,통과하다
passage,통로
passenger,승객
passion,열정
passport,여권
past,과거
pat,가볍게 두드리기
patch,반점
patent,특허
path,길
patient,인내심 있는
patrol,순찰
pattern,무늬
pause,정지시키다
pave,포장길
pay,지불하다
peace,평화
peak,정점
pear,배
peasant,농부
peel,껍질
peer,또래
penalty,패널티
pencil,연필
people,사람들
pepper,후추
per,당
perceive,감지하다
perfect,완벽한
perform,공연하다
perhaps,아마도
period,기간
permanent,영구적인
permit,허용하다
persist,지속하다
person,사람
personality,성격
perspective,관점
persuade,설득하다
pet,애완 동물
phase,단계
phenomenon,현상
philosophy,철학
photograph,사진
phrase,구절
physical,물리적
physics,물리학
pick,선택하다
picnic,피크닉
picture,그림
piece,조각
pig,돼지
pile,말뚝
pill,알약
pin,핀
pinch,꼬집다
pine,소나무
pink,분홍색
pioneer,개척자
pitch,정점
pity,연민
place,장소
plain,솔직한
plan,계획
planet,행성
plant,식물
plate,그릇
platform,플랫폼
play,놀다
pleasant,즐거운
please,제발
pleasure,기쁨
plenty,풍부한
plot,구성
plus,...을 더한
P.M.,오후.
pocket,포켓
poem,시
poet,시인
point,가리키다
poison,독
polar,극선
pole,폴
police,경찰
policy,정책
polish,광택
polite,예의 바른
politics,정치
poll,투표
pollute,오염시키다
pond,연못
pool,수영장
poor,가난한
pop,팝
pope,로마 교황
popular,인기 있는
population,인구
pork,돼지고기
port,포트
portion,부분
portrait,초상화
pose,포즈
position,위치
positive,긍정적인
possess,붙잡다
possible,가능한
post,우편
poster,포스터
pot,냄비
potato,감자
potential,잠재적인
pour,붓다
powder,가루
power,힘
practical,현실적인
practice,관행
praise,칭찬
pray,기도하다
preach,설교
precede,앞서다
precious,귀중한
precise,정밀한
predator,포식자
predict,예측하다
prefer,선호하다
pregnant,임신한
prejudice,편견
premier,수상
premium,프리미엄
prepare,준비하다
prescribe,처방하다
presence,있음
present,현재의
preserve,보존하다
president,대통령
press,누르다
presume,추정하다
pretend,~인 척하다
pretty,예쁜
prevail,만연하다
prevent,예방하다
previous,이전의
prey,먹이
price,가격
pride,자부심
priest,성직자
primary,주요한
prime,초기
primitive,원어
prince,왕자
principal,주요한
principle,원칙
print,인쇄
prior,이전의
prison,감옥
privacy,은둔
private,사적인
privilege,특권
prize,상
probably,아마
problem,문제
procedure,절차
proceed,진행하다
process,프로세스
produce,생산하다
profession,직업
professor,교수
profile,프로필
profit,이익
profound,심오한
progress,진전
prohibit,금지하다
prominent,중요한
promise,약속하다
promote,홍보하다
prompt,즉각적인
pronounce,발음하다
proof,증거
proper,적절한
property,재산
proportion,비율
propose,제안하다
prospect,전망
prosper,번영하다
protect,보호하다
protein,단백질
protest,항의
proud,자랑스러운
prove,입증하다
provide,제공하다
province,주
provoke,화나게 하다
psychology,심리학
pub,선술집
public,공공의
publish,출판하다
pull,당기다
pump,펌프
punch,펀치
punish,벌하다
pupil,학생
puppy,강아지
purchase,구입
pure,순수한
purple,보라
purpose,목적
pursue,추구하다
push,푸시
put,놓다
puzzle,퍼즐
qualify,자격을 갖추다
quality,품질
quantity,수량
quarter,4분의 1
queen,여왕
question,질문
questionnaire,설문지
quick,빠른
quiet,조용한
quit,그만두다
quite,상당히
quote,인용하다
rabbit,토끼
race,경주
racial,인종
rage,격노
rail,레일
rain,비
rainbow,무지개
raise,들어올리다
rally,랠리
random,무작위의
range,범위
rank,계급
rapid,빠른
rare,희귀한
rat,쥐
rate,비율
rather,꽤
rational,합리적인
raw,날것의
reach,도달하다
react,반응하다
read,읽다
ready,준비가 된
real,진짜
realize,깨닫다
rear,뒤쪽
reason,이유
rebel,반역자
recall,상기하다
receipt,영수증
receive,받다
recent,최근의
reception,리셉션
recipe,레시피
recognize,인정하다
recommend,추천하다
record,기록
recover,다시 덮다
recruit,모집하다
recycle,재활용
red,빨간색
reduce,줄이다
refer,나타내다
refine,다듬다
reflect,반영하다
reform,개정
refrigerator,냉장고
refuse,거절하다
regard,관심
region,지역
register,등록하다
regret,후회
regular,정기적인
regulate,규제하다
reinforce,강화하다
reject,거부하다
relate,말하다
relative,상대적인
relax,안심하다
release,풀어 주다
relevant,관련 있는
relieve,완화
religion,종교
reluctant,주저하는
rely,의존하다
remain,유지하다
remark,주목
remedy,치료
remember,기억하다
remind,상기시키다
remote,원격
remove,제거하다
rent,임차료
repair,수리하다
repeat,반복하다
replace,바꾸다
reply,회신하다
report,보고서
represent,대표하다
republic,공화국
reputation,평판
request,요구
require,필요하다
rescue,구조하다
research,연구
resemble,닮다
reserve,예약하다
reside,살다
resign,사직하다
resist,저항하다
resolve,해결하다
resort,의지
resource,자원
respect,존경
respective,각각의
respond,대답하다
responsible,책임이 있는
rest,나머지
restaurant,식당
restore,복원하다
restrain,제지하다
restrict,얽매다
restroom,화장실
result,결과
resume,재개하다
retail,소매
retain,유지하다
retire,은퇴하다
retreat,후퇴
return,반품
reveal,드러내다
revenge,복수
reverse,뒤집다
review,검토
revise,개정하다
revive,부활시키다
revolution,혁명
reward,보상
rhythm,율
rice,쌀
rich,부자
rid,제거하다
ride,타다
ridiculous,말도 안 되는
right,오른쪽
ring,반지
riot,폭동
rise,증가
risk,위험
rival,경쟁자
river,강
road,도로
roar,노호
roast,구운
rob,털다
rock,바위
rod,막대
role,역할
roll,롤
romantic,낭만적인
roof,지붕
room,방
root,뿌리
rope,로프
rot,썩음
rough,거친
round,둥근
route,노선
routine,루틴
row,열
royal,왕실의
rub,장애
rubber,고무
rude,무례한
ruin,망치다
rule,규칙
rumor,소문
run,달리다
rural,시골의
rush,서두르다
sack,해고
sacred,신성한
sacrifice,희생
sad,슬퍼
safe,안전한
sail,돛
salary,샐러리
sale,판매
salon,가게
salt,소금
same,같은
sand,모래
satellite,위성
satisfy,풀다
save,구하다
say,말하다
scale,규모
scan,주사
scandal,스캔들
scarce,부족한
scare,공황
scatter,흩어지게하다
scene,장면
scheme,계획
scholar,학자
school,학교
science,과학
scissors,가위
scold,꾸짖다
scope,범위
score,점수
scramble,스크램블
scratch,할퀴다
scream,비명
screen,화면
screw,나사
scrub,미사일 발사 중지
sculpture,조각품
sea,바다
seal,밀봉하다
search,찾다
season,계절
seat,좌석
secret,비밀
secretary,비서
sector,부문
secure,안전한
see,보다
seed,씨앗
seek,구하다
seem,~인 것 같다
seize,잡다
select,선택하다
self,본인
sell,팔다
send,보내다
senior,상위
sensation,감각
sense,감각
sensible,현명한
sentence,문장
sentiment,감정
separate,분리된
sequence,순서
series,시리즈
serious,심각한
serve,제공하다
session,세션
settle,해결하다
several,여러 개의
severe,극심한
sew,꿰매다
sex,섹스
shade,그늘
shadow,그림자
shake,떨림
shall,~일 것이다
shallow,얕은
shame,창피
shape,모양
share,공유하다
sharp,날카로운
shave,깎다
she,그녀
sheep,양
sheet,시트
shelf,선반
shell,껍데기
shelter,대피소
shield,방패
shift,옮기다
shine,빛나는
ship,배
shock,충격
shoe,구두
shoot,사격
shop,가게
shore,지주
short,짧은
should,~해야 한다
shoulder,어깨
shout,외침
show,보여주다
shower,샤워
shrink,수축
shut,닫다
shy,수줍은
sick,아픈
side,옆
sigh,한숨을 쉬다
sight,시력
sign,징후
significant,중요한
silent,조용한
silk,실크
silly,바보 같은
silver,은
similar,비슷한
simple,단순한
simulate,시뮬레이션
simultaneous,동시
sin,죄
since,~부터
sing,노래하다
single,하나의
sink,싱크대
sister,자매
sit,앉다
site,대지
situation,상황
size,크기
skill,기술
skin,피부
skip,건너뛰다
skirt,치마
sky,하늘
slaughter,학살
slave,노예
sleep,잠
slice,일부분
slide,미끄러지 다
slight,근소한
slim,날씬한
slip,슬립
slope,경사
slow,느린
small,작은
smart,똑똑한
smash,스매시
smell,냄새가 나다
smile,웃다
smoke,연기
smooth,매끄러운
snake,뱀
snap,스냅
sneak,좀도둑
sniff,맡다
snow,눈
so,그래서
soak,담그다
soap,비누
soccer,축구
social,사회의
society,사회
sociology,사회학
sock,양말
soft,부드러운
software,소프트웨어
soil,토양
soldier,군인
sole,밑창
solid,단단한
solo,독주
solve,해결하다
some,일부
somewhat,약간
son,아들
song,노래
soon,곧
sophisticated,정교한
sore,아픈
sorry,죄송합니다
sort,종류
soul,영혼
sound,소리
sour,시큼한
source,원천
south,남쪽
space,공간
span,기간
spare,여분의
spark,불꽃
speak,말하다
special,특별한
species,종
specific,특정한
spectacle,안경
spectrum,스펙트럼
speech,연설
speed,속도
spell,주문
spend,경비
sphere,구체
spill,엎지르다
spin,회전
spirit,영혼
spit,침
spite,악의
splash,튀김
split,나뉘다
spoil,약탈
spoon,숟가락
spot,점
spouse,배우자
spread,확산
square,정사각형
squeeze,짜내다
stable,안정적인
stack,스택
stage,단계
stain,얼룩
stairs,계단
stamp,우표
stand,서다
standard,기준
stare,응시
start,시작
starve,굶어 죽다
state,상태
station,역
statistic,통계량
statue,동상
status,상태
stay,머무르다
steady,꾸준한
steal,훔치다
steam,증기
steel,강철
steep,험한
stem,줄기
step,단계
stick,막대
stiff,뻣뻣한
still,아직
stimulate,자극하다
stir,젓다
stitch,땀
stock,재고
stomach,위
stone,결석
stop,멈추다
store,가게
storm,폭풍
story,이야기
stove,난로
straight,똑바로
strain,부담
strange,이상한
strategy,전략
straw,빨대
strawberry,딸기
stream,개울
street,거리
stress,스트레스
stretch,뻗기
strict,엄격한
strike,스트라이크
string,끈
strip,조각
stripe,줄무늬
stroke,뇌졸중
strong,강한
structure,구조
struggle,고심하다
student,학생
study,공부하다
stuff,물건
subject,주제
subjective,주걱
submarine,잠수함
submit,제출하다
subscribe,구독하다
substance,물질
substantial,상당한
substitute,대리자
subtle,미묘한
suburb,근교
subway,지하철
succeed,성공하다
such,그런
suck,빨다
sudden,갑자기
suffer,시달리다
sufficient,충분한
sugar,설탕
suggest,제안하다
suicide,자살
suit,정장
suite,모음곡
sum,합집합
summary,요약
summit,정상 회담
sun,해
super,감독자
superb,훌륭한
superior,우수한
supervise,감독하다
supper,저녁
supplement,보충
supply,공급
support,지원하다
suppose,가정하다
sure,확신하는
surface,표면
surgery,수술
surprise,놀라다
surrender,항복
surround,둘러 싸다
survey,조사
survive,생존하다
suspect,의심하다
suspend,유예하다
sustain,지속시키다
swallow,삼키다
swear,욕을 하다
sweat,땀
sweep,스위프
sweet,달콤한
swell,팽창
swift,빠른
swim,수영
swing,그네
switch,스위치
symbol,상징
sympathy,동정
symphony,교향곡
symptom,징후
system,체계
table,테이블
tackle,태클
tag,꼬리표
tail,꼬리
take,가져가다
tale,이야기
talent,재능
talk,말하다
tall,키가 큰
tap,수도꼭지
tape,줄자
target,표적
task,일
taste,맛
tattoo,타투
tax,세
tea,차
teach,가르치다
tear,눈물
tease,놀리다
teen,비탄
teenage,십대의
telegraph,전신
telephone,전화
tell,말하다
temperature,온도
temple,절
temporary,일시적인
tempt,유혹하다
tenant,거주자
tend,추세
tender,부드러운
tense,시제
term,용어
terminal,단말기
terminate,끝내다
terrace,테라스
terrible,끔찍한
terrific,훌륭한
territory,지역
test,시험
testify,증언하다
text,텍스트
textbook,교과서
than,~보다
thank,감사하다
that,저것
the,그만큼
theater,극장
theme,주제
then,그 다음에
theory,이론
therapy,요법
there,거기
therefore,그러므로
they,그들
thick,두꺼운
thief,도둑
thin,얇은
thing,물건
think,생각하다
thirst,갈증
this,이것
thorough,철저한
though,그렇지만
thousand,천
thread,실
threat,위협
thrill,스릴
throat,목
through,~을 통해
throw,던지다
thumb,무지
thus,따라서
tick,진드기
tide,조류
tidy,정돈하다
tie,묶다
tiger,호랑이
tight,단단한
till,...까지
timber,재목
time,시간
tin,주석
tiny,매우 작은
tip,팁
tire,타이어
tissue,조직
title,제목
to,에게
tobacco,담배
today,오늘
toe,발가락
together,함께
toilet,화장실
tomorrow,내일
tone,음정
tongue,혀
tonight,오늘 밤
too,~도
tool,도구
tooth,이빨
top,맨 위
torture,고문
toss,던져 올림
total,총
touch,만지다
tough,힘든
tour,관광
toward,~ 을 향하여
tower,탑
town,도시
toxic,독성
toy,장난감
trace,추적하다
trade,거래
tradition,전통
traffic,교통
tragic,비참한
trail,자취
train,기차
transact,거래하다
transfer,옮기다
transform,변환
transition,이행
translate,번역하다
transmit,부치다
transport,수송
trap,덫
travel,여행하다
tray,쟁반
treasure,보물
treat,대하다
treaty,조약
tree,나무
tremendous,엄청난
trend,경향
trial,재판
triangle,삼각형
tribe,부족
trick,장난
trigger,방아쇠
trim,손질
trip,여행
triumph,승리
troop,군대
trophy,트로피
trouble,문제
trouser,바지
true,진실
trunk,트렁크
trust,신뢰하다
truth,진실
try,노력하다
tube,튜브
tune,곡조
tunnel,터널
turn,회전하다
turnover,회전율
tutor,가정 교사
twice,두 배
twin,쌍
twist,트위스트
type,유형
typical,전형적인
ugly,못생긴
ultimate,궁극적인
umbrella,우산
uncle,삼촌
under,아래에
undergo,받다
underlie,기초가 되는
undermine,훼손하다
understand,이해하다
undertake,맡다
uniform,제복
unify,하나로 하다
union,노동 조합
unique,고유한
unit,단위
unite,맞잡다
universe,우주
university,대학교
unless,~하지 않는 한
until,~까지
up,위로
update,업데이트
upon,...에
upper,높은
upset,속상한
upward,상승
urban,도시의
urge,충고하다
urgent,긴급한
use,사용
usual,보통의
utilize,활용하다
utter,전적인
vacation,휴가
vacuum,진공
vague,희미한
valid,유효한
valley,골짜기
value,값
van,봉고차
vanish,사라지다
various,다양한
vary,달라지다
vast,대단한
vegetable,채소
vehicle,차량
venture,투기
verbal,언어 적
verse,절
version,버전
versus,~ 대
vertical,수직의
very,매우
vessel,선박
veteran,재향 군인
veterinarian,수의사
via,~을 통해
vice,바이스
victim,피해자
victory,승리
view,보다
vigorous,원기 왕성한
village,마을
violent,폭력적인
virgin,숫처녀
virtual,가상
virtue,덕
visible,보이는
visit,방문하다
visual,시각적
vital,필수적인
vivid,생생한
vocabulary,어휘
vocation,직업
voice,목소리
volume,용량
voluntary,자발적인
vote,투표
voyage,항해
wage,값
wagon,왜건
wait,기다리다
wake,일어나 다
walk,걷다
wall,벽
wander,떠돌다
want,원하다
war,전쟁
warehouse,창고
warm,따뜻한
warn,경고하다
warrant,보증
warrior,전사
wash,씻다
waste,쓰레기
watch,보다
water,물
watermelon,수박
wave,파도
way,방법
we,우리
weak,약한
wealth,재산
weapon,무기
wear,입다
weather,날씨
weave,짜다
wedding,혼례
weed,잡초
week,주
weekend,주말
weigh,달다
weight,무게
weird,기이한
welcome,환영
welfare,복지
well,잘
west,서쪽
wet,젖은
whale,고래
what,무엇
wheat,밀
wheel,바퀴
when,언제
where,어디
whereas,반면
whether,~이든
which,어느
while,~하는 동안
whip,채찍
whisper,속삭임
whistle,휘파람
white,하얀색
who,WHO
whole,전체
why,왜
wicked,사악한
wide,넓은
widespread,펼친
widow,과부
wife,부인
wild,야생의
will,~ 할 것이다
win,이기다
wind,바람
window,창문
wing,날개
wipe,닦음
wire,철사
wise,지혜로운
wish,소망
wit,재치
with,~와 함께
withdraw,철회하다
within,이내에
without,없이
witness,증인
woman,여성
wonder,궁금하다
wood,목재
wool,양모
word,단어
work,일하다
world,세계
worry,걱정하다
worship,예배
worth,가치
would,~일 것이다
wound,상처
wrap,포장하다
wreck,난파선
write,쓰다
wrong,잘못된
year,년도
yell,소리치다
yellow,노란색
yes,예
yesterday,어제
yet,아직
yield,생산하다
you,너
young,어린
zebra,얼룩말
zone,존
zoo,동물원
